x,y,z,uuid,type,alive,display_name,custom_name
0.5,103.5,-1.96875,5cca15d2-a06d-4380-ba3b-601bc9074618,minecraft:painting,true,Painting,[null]
982.1515413504089,105.0,1009.4784749819246,ec6ea6fa-0e60-4180-81ed-c0dbd91c1d1d,minecraft:player,true,2eme - JrsArthur,[null]
1019.2522876527795,114.62631393154072,969.5734146673319,f567f75c-5a47-4fd5-97fd-550b107cfca5,minecraft:player,true,1er - COOL_BEAR,[null]
986.6154163358692,101.0,998.2354400698957,703a5c78-9c9b-4670-a67d-c17c2f381c19,minecraft:armor_stand,true,Armor Stand,[null]
991.5015729665756,101.0,998.3226427659392,88f1f22f-0bc2-40ad-b929-5c0209c89852,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
990.5017319321632,101.0,998.3048111852258,0e83e2aa-560a-492f-9e86-1aaa14e5335b,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
989.5018908977509,101.0,998.2869796045125,4864429f-50d7-436d-9a77-4b4b5fb1feeb,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
988.5020498633385,101.0,998.2691480237991,042e377d-9dd8-49a4-a8d4-eb1b871f5d02,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
987.5022088289261,101.0,998.2513164430857,2f3317e6-f0dc-49a9-9acd-f46224cd754d,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
986.5198662877083,101.0,998.0642251968384,6542d918-5819-46ab-9d98-4add43ee8b5e,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
985.5375237464905,101.0,997.8771339505911,476fc9a4-48ac-4f6e-9be7-262615cb85d5,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
984.5551812052727,101.0,997.6900427043438,f7fe6bd3-4e55-4656-a3d9-eee1d36a9c51,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
983.5728386640549,101.0,997.5029514580965,37af8f5b-0c66-4ae6-b18a-bf74a172d8b3,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
982.5904961228371,101.0,997.3158602118492,4d35a8c0-f39b-45b2-b7b6-fe15121a73f7,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
981.6081535816193,101.0,997.1287689656019,a8067855-2da4-4b2e-8a0d-585d1745198a,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
980.6258110404015,101.0,996.9416777193546,f71aef0a-e277-4ec5-a826-573780492cc8,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
979.6434684991837,101.0,996.7545864731073,08b47f09-1007-4dcd-aad6-0a2253bc68ff,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
978.6611259579659,101.0,996.56749522686,ee4e342b-d09a-4d12-9962-0cdb220eea43,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
977.6788013577461,101.0,996.380309805274,7cade768-49c6-4b8c-836b-a9feb185e6da,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
976.6964767575264,101.0,996.193124383688,80da258c-29fa-4f04-84b5-aa030a6fe523,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
998.5,94.0,994.5,c5c10cd1-6d28-4e47-b2b9-9a8ddd9ee4a3,minecraft:armor_stand,true,Armor Stand,[null]
996.5,94.0,994.5,2a0dead6-756b-4d0e-aa1b-bb9cfd3f6a8b,minecraft:armor_stand,true,Armor Stand,[null]
994.5,94.0,994.5,58aa1518-e246-4595-ab0b-54ed045b08fd,minecraft:armor_stand,true,Armor Stand,[null]
998.5,94.0,1002.5,5b428ac4-6d1a-427c-9cfa-370c5950b066,minecraft:armor_stand,true,Armor Stand,[null]
1000.5,94.0,1002.5,07c96dcb-0190-44a1-929d-65351e4ab6d3,minecraft:armor_stand,true,Armor Stand,[null]
1002.5,94.0,1002.5,6a3c2552-3fea-4f2b-aa0e-d88313ab32e3,minecraft:armor_stand,true,Armor Stand,[null]
998.4933495385048,94.0000258898217,992.1037695463747,5b76b795-b24e-4ae2-bd51-cbcef0944880,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
998.4937330336834,94.0000258898217,993.10376948677,1bd84158-cee6-4bc5-b17a-8e5190d4397d,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
998.4941165288619,94.0000258898217,994.1037694271654,2d1eae90-a160-44e1-a811-f10b6417bd5c,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
998.4945000240405,94.0000258898217,995.1037693675607,6892d152-3284-44bb-9835-4f5fcef8d2ff,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
998.494883519219,94.0000258898217,996.1037693079561,9c398eaf-1680-40c1-9018-8b3ff5b0f029,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
998.4952670143975,94.0000258898217,997.1037692483515,6571dcc1-7b69-45a1-aa43-66caa9c2b931,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
998.4956505095761,94.0000258898217,998.1037691887468,5427d832-46e3-4c50-acc1-a424d6e90662,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
998.4960340047546,94.0000258898217,999.1037691291422,c06335aa-3fe0-4de2-8ba1-c20b411ad81b,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
998.4964174999332,94.0000258898217,1000.1037690695375,2e9e3d4a-0d82-41d5-a2dd-863dd2d216a0,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
998.4968009951117,94.0000258898217,1001.1037690099329,e382a9e6-eca4-4dea-ac3f-99ef8fc6e935,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
998.4971844902902,94.0000258898217,1002.1037689503282,f2d5e645-5a35-4d36-b475-9408db71bd16,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
998.4975679854688,94.0000258898217,1003.1037688907236,0ed07047-6f06-4b22-aeec-c200c68461f1,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
998.4979514806473,94.0000258898217,1004.1037688311189,641702a7-0d10-4b90-a7d3-20de858c29e2,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
998.4983349758259,94.0000258898217,1005.1037687715143,c54e612b-aaee-4dba-8623-081b3aa93748,minecraft:area_effect_cloud,true,Area Effect Cloud,[null]
